                                           Experiment  Subset   Metric  File     Value                                  Model        CNN          RNN  LENGTH
57           Evaluation-ResNet152_GRU-finetuned-clip2     180  ROC-AUC     3  0.956522          ResNet152-GRU-finetuned-clip2  ResNet152          GRU     180
58           Evaluation-ResNet152_GRU-finetuned-clip2     180  ROC-AUC     4  0.939566          ResNet152-GRU-finetuned-clip2  ResNet152          GRU     180
59           Evaluation-ResNet152_GRU-finetuned-clip2     180  ROC-AUC     5  0.965060          ResNet152-GRU-finetuned-clip2  ResNet152          GRU     180
60          Evaluation-ResNet152_LSTM-finetuned-clip2       3  ROC-AUC     1  0.923947         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM       3
61          Evaluation-ResNet152_LSTM-finetuned-clip2       3  ROC-AUC     2  0.929167         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM       3
62          Evaluation-ResNet152_LSTM-finetuned-clip2       3  ROC-AUC     3  0.930356         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM       3
63          Evaluation-ResNet152_LSTM-finetuned-clip2       3  ROC-AUC     4  0.896307         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM       3
64          Evaluation-ResNet152_LSTM-finetuned-clip2       3  ROC-AUC     5  0.921140         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM       3
65          Evaluation-ResNet152_LSTM-finetuned-clip2      15  ROC-AUC     1  0.933059         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM      15
66          Evaluation-ResNet152_LSTM-finetuned-clip2      15  ROC-AUC     2  0.937152         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM      15
67          Evaluation-ResNet152_LSTM-finetuned-clip2      15  ROC-AUC     3  0.936333         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM      15
68          Evaluation-ResNet152_LSTM-finetuned-clip2      15  ROC-AUC     4  0.900203         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM      15
69          Evaluation-ResNet152_LSTM-finetuned-clip2      15  ROC-AUC     5  0.934907         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM      15
70          Evaluation-ResNet152_LSTM-finetuned-clip2      60  ROC-AUC     1  0.947915         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM      60
71          Evaluation-ResNet152_LSTM-finetuned-clip2      60  ROC-AUC     2  0.949685         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM      60
72          Evaluation-ResNet152_LSTM-finetuned-clip2      60  ROC-AUC     3  0.939795         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM      60
73          Evaluation-ResNet152_LSTM-finetuned-clip2      60  ROC-AUC     4  0.919281         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM      60
74          Evaluation-ResNet152_LSTM-finetuned-clip2      60  ROC-AUC     5  0.945769         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM      60
75          Evaluation-ResNet152_LSTM-finetuned-clip2     180  ROC-AUC     1  0.952410         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM     180
76          Evaluation-ResNet152_LSTM-finetuned-clip2     180  ROC-AUC     2  0.954839         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM     180
77          Evaluation-ResNet152_LSTM-finetuned-clip2     180  ROC-AUC     3  0.952971         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM     180
78          Evaluation-ResNet152_LSTM-finetuned-clip2     180  ROC-AUC     4  0.918205         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM     180
79          Evaluation-ResNet152_LSTM-finetuned-clip2     180  ROC-AUC     5  0.956580         ResNet152-LSTM-finetuned-clip2  ResNet152         LSTM     180
80         Evaluation-ResNet152_Mamba-finetuned-clip2       3  ROC-AUC     1  0.911718        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba       3
81         Evaluation-ResNet152_Mamba-finetuned-clip2       3  ROC-AUC     2  0.907010        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba       3
82         Evaluation-ResNet152_Mamba-finetuned-clip2       3  ROC-AUC     3  0.917485        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba       3
83         Evaluation-ResNet152_Mamba-finetuned-clip2       3  ROC-AUC     4  0.877213        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba       3
84         Evaluation-ResNet152_Mamba-finetuned-clip2       3  ROC-AUC     5  0.917241        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba       3
85         Evaluation-ResNet152_Mamba-finetuned-clip2      15  ROC-AUC     1  0.909778        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba      15
86         Evaluation-ResNet152_Mamba-finetuned-clip2      15  ROC-AUC     2  0.921153        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba      15
87         Evaluation-ResNet152_Mamba-finetuned-clip2      15  ROC-AUC     3  0.921902        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba      15
88         Evaluation-ResNet152_Mamba-finetuned-clip2      15  ROC-AUC     4  0.887978        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba      15
89         Evaluation-ResNet152_Mamba-finetuned-clip2      15  ROC-AUC     5  0.914402        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba      15
90         Evaluation-ResNet152_Mamba-finetuned-clip2      60  ROC-AUC     1  0.924852        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba      60
