                                            Experiment  Subset        Metric  File     Value                                  Model        CNN          RNN  LENGTH
54          Evaluation-ResNet152_BiGRU-finetuned-clip2       3  F1-Score-ACF     5  0.277384        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
55          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-VS     1  0.590049        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
56          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-VS     2  0.669830        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
57          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-VS     3  0.743819        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
58          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-VS     4  0.666099        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
59          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-VS     5  0.623525        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
60          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-TA     1  0.383871        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
61          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-TA     2  0.518063        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
62          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-TA     3  0.389987        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
63          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-TA     4  0.356262        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
64          Evaluation-ResNet152_BiGRU-finetuned-clip2       3   F1-Score-TA     5  0.378423        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
65          Evaluation-ResNet152_BiGRU-finetuned-clip2       3      F1-Score     1  0.516329        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
66          Evaluation-ResNet152_BiGRU-finetuned-clip2       3      F1-Score     2  0.550450        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
67          Evaluation-ResNet152_BiGRU-finetuned-clip2       3      F1-Score     3  0.531731        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
68          Evaluation-ResNet152_BiGRU-finetuned-clip2       3      F1-Score     4  0.496606        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
69          Evaluation-ResNet152_BiGRU-finetuned-clip2       3      F1-Score     5  0.486588        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU       3
70          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Idl     1  0.553793        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
71          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Idl     2  0.605106        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
72          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Idl     3  0.528345        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
73          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Idl     4  0.544490        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
74          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Idl     5  0.477570        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
75          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Inc     1  0.505835        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
76          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Inc     2  0.389932        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
77          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Inc     3  0.441902        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
78          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Inc     4  0.440331        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
79          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Inc     5  0.307400        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
80          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Vis     1  0.490348        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
81          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Vis     2  0.451027        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
82          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Vis     3  0.495082        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
83          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Vis     4  0.355594        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
84          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Vis     5  0.451711        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
85          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Cap     1  0.770693        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
86          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Cap     2  0.717108        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
87          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Cap     3  0.680160        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
88          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Cap     4  0.648772        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
89          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Cap     5  0.747946        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
90          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Hyd     1  0.595540        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
91          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Hyd     2  0.596294        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
92          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Hyd     3  0.559707        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
93          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Hyd     4  0.306572        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
94          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Hyd     5  0.485216        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
95          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Pha     1  0.895604        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
96          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Pha     2  0.944392        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
97          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Pha     3  0.907023        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
98          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Pha     4  0.880037        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
99          Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-Pha     5  0.869182        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
100         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-IA     1  0.709301        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
101         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-IA     2  0.760576        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
102         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-IA     3  0.777740        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
103         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-IA     4  0.652012        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
104         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-IA     5  0.657095        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
105         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-CP     1  0.444264        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
106         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-CP     2  0.544291        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
107         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-CP     3  0.431993        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
108         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-CP     4  0.335392        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
109         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-CP     5  0.446963        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
110         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-LI     1  0.681069        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
111         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-LI     2  0.659459        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
112         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-LI     3  0.644707        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
113         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-LI     4  0.690802        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
114         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-LI     5  0.662102        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
115         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-LP     1  0.417961        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
116         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-LP     2  0.382729        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
117         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-LP     3  0.413230        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
118         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-LP     4  0.432608        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
119         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-LP     5  0.502443        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
120         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-ACF     1  0.467382        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
121         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-ACF     2  0.424785        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
122         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-ACF     3  0.469217        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
123         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-ACF     4  0.251424        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
124         Evaluation-ResNet152_BiGRU-finetuned-clip2      15  F1-Score-ACF     5  0.338179        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
125         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-VS     1  0.692421        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
126         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-VS     2  0.709081        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
127         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-VS     3  0.795038        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
128         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-VS     4  0.672166        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
