                                           Experiment  Subset        Metric  File     Value                                  Model        CNN          RNN  LENGTH
70         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-3rd     1  0.048809        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
71         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-3rd     2  0.049056        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
72         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-3rd     3  0.062786        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
73         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-3rd     4  0.061228        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
74         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-3rd     5  0.065253        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
75         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-4th     1  0.021088        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
76         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-4th     2  0.022778        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
77         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-4th     3  0.025584        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
78         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-4th     4  0.031188        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
79         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-4th     5  0.023260        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
80         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-5th     1  0.012480        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
81         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-5th     2  0.011948        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
82         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-5th     3  0.016735        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
83         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-5th     4  0.018513        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
84         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  Accuracy-5th     5  0.011962        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
85         Evaluation-ResNet152_BiGRU-finetuned-clip2      60      Accuracy     1  0.745009        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
86         Evaluation-ResNet152_BiGRU-finetuned-clip2      60      Accuracy     2  0.778556        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
87         Evaluation-ResNet152_BiGRU-finetuned-clip2      60      Accuracy     3  0.733427        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
88         Evaluation-ResNet152_BiGRU-finetuned-clip2      60      Accuracy     4  0.695544        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
89         Evaluation-ResNet152_BiGRU-finetuned-clip2      60      Accuracy     5  0.721182        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
90         Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-1st     1  0.792241        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
91         Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-1st     2  0.825539        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
92         Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-1st     3  0.796443        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
93         Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-1st     4  0.750587        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
94         Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-1st     5  0.754500        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
95         Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-2nd     1  0.132080        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
96         Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-2nd     2  0.103154        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
97         Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-2nd     3  0.114648        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
98         Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-2nd     4  0.146466        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
99         Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-2nd     5  0.130552        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
100        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-3rd     1  0.041112        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
101        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-3rd     2  0.036113        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
102        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-3rd     3  0.049179        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
103        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-3rd     4  0.047826        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
104        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-3rd     5  0.053997        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
105        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-4th     1  0.019304        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
106        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-4th     2  0.015844        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
107        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-4th     3  0.016751        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
108        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-4th     4  0.025542        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
109        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-4th     5  0.023255        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
110        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-5th     1  0.008033        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
111        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-5th     2  0.008526        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
112        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-5th     3  0.010731        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
113        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-5th     4  0.011086        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
114        Evaluation-ResNet152_BiGRU-finetuned-clip2     180  Accuracy-5th     5  0.013120        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
115        Evaluation-ResNet152_BiGRU-finetuned-clip2     180      Accuracy     1  0.792241        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
116        Evaluation-ResNet152_BiGRU-finetuned-clip2     180      Accuracy     2  0.825539        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
117        Evaluation-ResNet152_BiGRU-finetuned-clip2     180      Accuracy     3  0.796443        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
118        Evaluation-ResNet152_BiGRU-finetuned-clip2     180      Accuracy     4  0.750587        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
119        Evaluation-ResNet152_BiGRU-finetuned-clip2     180      Accuracy     5  0.754500        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU     180
120       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-1st     1  0.638531       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
121       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-1st     2  0.682271       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
122       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-1st     3  0.643175       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
