                                     Experiment       Metric  File     Value                            Model        CNN          RNN
68          Evaluation-ResNet152_LSTM-finetuned  F1-Score-PC     4  0.653374         ResNet152-LSTM-finetuned  ResNet152         LSTM
69          Evaluation-ResNet152_LSTM-finetuned  F1-Score-PC     5  0.728455         ResNet152-LSTM-finetuned  ResNet152         LSTM
70          Evaluation-ResNet152_LSTM-finetuned  F1-Score-LR     1  0.176471         ResNet152-LSTM-finetuned  ResNet152         LSTM
71          Evaluation-ResNet152_LSTM-finetuned  F1-Score-LR     2  0.000000         ResNet152-LSTM-finetuned  ResNet152         LSTM
72          Evaluation-ResNet152_LSTM-finetuned  F1-Score-LR     3  0.000000         ResNet152-LSTM-finetuned  ResNet152         LSTM
73          Evaluation-ResNet152_LSTM-finetuned  F1-Score-LR     4  0.000000         ResNet152-LSTM-finetuned  ResNet152         LSTM
74          Evaluation-ResNet152_LSTM-finetuned  F1-Score-LR     5  0.000000         ResNet152-LSTM-finetuned  ResNet152         LSTM
75          Evaluation-ResNet152_LSTM-finetuned     F1-Score     1  0.548115         ResNet152-LSTM-finetuned  ResNet152         LSTM
76          Evaluation-ResNet152_LSTM-finetuned     F1-Score     2  0.512630         ResNet152-LSTM-finetuned  ResNet152         LSTM
77          Evaluation-ResNet152_LSTM-finetuned     F1-Score     3  0.500402         ResNet152-LSTM-finetuned  ResNet152         LSTM
78          Evaluation-ResNet152_LSTM-finetuned     F1-Score     4  0.467443         ResNet152-LSTM-finetuned  ResNet152         LSTM
79          Evaluation-ResNet152_LSTM-finetuned     F1-Score     5  0.517972         ResNet152-LSTM-finetuned  ResNet152         LSTM
80         Evaluation-ResNet152_Mamba-finetuned   F1-Score-N     1  0.646562        ResNet152-Mamba-finetuned  ResNet152        Mamba
81         Evaluation-ResNet152_Mamba-finetuned   F1-Score-N     2  0.768000        ResNet152-Mamba-finetuned  ResNet152        Mamba
82         Evaluation-ResNet152_Mamba-finetuned   F1-Score-N     3  0.723845        ResNet152-Mamba-finetuned  ResNet152        Mamba
83         Evaluation-ResNet152_Mamba-finetuned   F1-Score-N     4  0.746445        ResNet152-Mamba-finetuned  ResNet152        Mamba
84         Evaluation-ResNet152_Mamba-finetuned   F1-Score-N     5  0.746696        ResNet152-Mamba-finetuned  ResNet152        Mamba
85         Evaluation-ResNet152_Mamba-finetuned  F1-Score-PC     1  0.680660        ResNet152-Mamba-finetuned  ResNet152        Mamba
86         Evaluation-ResNet152_Mamba-finetuned  F1-Score-PC     2  0.674033        ResNet152-Mamba-finetuned  ResNet152        Mamba
87         Evaluation-ResNet152_Mamba-finetuned  F1-Score-PC     3  0.474645        ResNet152-Mamba-finetuned  ResNet152        Mamba
88         Evaluation-ResNet152_Mamba-finetuned  F1-Score-PC     4  0.698039        ResNet152-Mamba-finetuned  ResNet152        Mamba
89         Evaluation-ResNet152_Mamba-finetuned  F1-Score-PC     5  0.633181        ResNet152-Mamba-finetuned  ResNet152        Mamba
90         Evaluation-ResNet152_Mamba-finetuned  F1-Score-LR     1  0.195652        ResNet152-Mamba-finetuned  ResNet152        Mamba
91         Evaluation-ResNet152_Mamba-finetuned  F1-Score-LR     2  0.014599        ResNet152-Mamba-finetuned  ResNet152        Mamba
92         Evaluation-ResNet152_Mamba-finetuned  F1-Score-LR     3  0.015873        ResNet152-Mamba-finetuned  ResNet152        Mamba
93         Evaluation-ResNet152_Mamba-finetuned  F1-Score-LR     4  0.000000        ResNet152-Mamba-finetuned  ResNet152        Mamba
94         Evaluation-ResNet152_Mamba-finetuned  F1-Score-LR     5  0.191304        ResNet152-Mamba-finetuned  ResNet152        Mamba
95         Evaluation-ResNet152_Mamba-finetuned     F1-Score     1  0.507625        ResNet152-Mamba-finetuned  ResNet152        Mamba
