                           Experiment        Metric  File     Value                  Model        CNN          RNN
70        Evaluation-ResNet152_BiLSTM  F1-Score-Inc     1  0.800000       ResNet152-BiLSTM  ResNet152       BiLSTM
71        Evaluation-ResNet152_BiLSTM  F1-Score-Inc     2  0.821429       ResNet152-BiLSTM  ResNet152       BiLSTM
72        Evaluation-ResNet152_BiLSTM  F1-Score-Inc     3  0.854701       ResNet152-BiLSTM  ResNet152       BiLSTM
73        Evaluation-ResNet152_BiLSTM  F1-Score-Inc     4  0.830508       ResNet152-BiLSTM  ResNet152       BiLSTM
74        Evaluation-ResNet152_BiLSTM  F1-Score-Inc     5  0.834646       ResNet152-BiLSTM  ResNet152       BiLSTM
75        Evaluation-ResNet152_BiLSTM  F1-Score-Vis     1  0.754717       ResNet152-BiLSTM  ResNet152       BiLSTM
76        Evaluation-ResNet152_BiLSTM  F1-Score-Vis     2  0.680851       ResNet152-BiLSTM  ResNet152       BiLSTM
77        Evaluation-ResNet152_BiLSTM  F1-Score-Vis     3  0.723810       ResNet152-BiLSTM  ResNet152       BiLSTM
78        Evaluation-ResNet152_BiLSTM  F1-Score-Vis     4  0.713043       ResNet152-BiLSTM  ResNet152       BiLSTM
79        Evaluation-ResNet152_BiLSTM  F1-Score-Vis     5  0.672414       ResNet152-BiLSTM  ResNet152       BiLSTM
80        Evaluation-ResNet152_BiLSTM  F1-Score-Cap     1  0.752137       ResNet152-BiLSTM  ResNet152       BiLSTM
81        Evaluation-ResNet152_BiLSTM  F1-Score-Cap     2  0.731183       ResNet152-BiLSTM  ResNet152       BiLSTM
82        Evaluation-ResNet152_BiLSTM  F1-Score-Cap     3  0.835165       ResNet152-BiLSTM  ResNet152       BiLSTM
83        Evaluation-ResNet152_BiLSTM  F1-Score-Cap     4  0.666667       ResNet152-BiLSTM  ResNet152       BiLSTM
84        Evaluation-ResNet152_BiLSTM  F1-Score-Cap     5  0.740741       ResNet152-BiLSTM  ResNet152       BiLSTM
85        Evaluation-ResNet152_BiLSTM  F1-Score-Hyd     1  0.869565       ResNet152-BiLSTM  ResNet152       BiLSTM
86        Evaluation-ResNet152_BiLSTM  F1-Score-Hyd     2  0.809524       ResNet152-BiLSTM  ResNet152       BiLSTM
87        Evaluation-ResNet152_BiLSTM  F1-Score-Hyd     3  0.867925       ResNet152-BiLSTM  ResNet152       BiLSTM
88        Evaluation-ResNet152_BiLSTM  F1-Score-Hyd     4  0.772727       ResNet152-BiLSTM  ResNet152       BiLSTM
89        Evaluation-ResNet152_BiLSTM  F1-Score-Hyd     5  0.792079       ResNet152-BiLSTM  ResNet152       BiLSTM
90        Evaluation-ResNet152_BiLSTM  F1-Score-Pha     1  0.943396       ResNet152-BiLSTM  ResNet152       BiLSTM
91        Evaluation-ResNet152_BiLSTM  F1-Score-Pha     2  0.893204       ResNet152-BiLSTM  ResNet152       BiLSTM
92        Evaluation-ResNet152_BiLSTM  F1-Score-Pha     3  0.871287       ResNet152-BiLSTM  ResNet152       BiLSTM
93        Evaluation-ResNet152_BiLSTM  F1-Score-Pha     4  0.752137       ResNet152-BiLSTM  ResNet152       BiLSTM
94        Evaluation-ResNet152_BiLSTM  F1-Score-Pha     5  0.888889       ResNet152-BiLSTM  ResNet152       BiLSTM
95        Evaluation-ResNet152_BiLSTM   F1-Score-IA     1  0.849558       ResNet152-BiLSTM  ResNet152       BiLSTM
96        Evaluation-ResNet152_BiLSTM   F1-Score-IA     2  0.882353       ResNet152-BiLSTM  ResNet152       BiLSTM
97        Evaluation-ResNet152_BiLSTM   F1-Score-IA     3  0.822430       ResNet152-BiLSTM  ResNet152       BiLSTM
98        Evaluation-ResNet152_BiLSTM   F1-Score-IA     4  0.578313       ResNet152-BiLSTM  ResNet152       BiLSTM
99        Evaluation-ResNet152_BiLSTM   F1-Score-IA     5  0.773585       ResNet152-BiLSTM  ResNet152       BiLSTM
100       Evaluation-ResNet152_BiLSTM   F1-Score-CP     1  0.884956       ResNet152-BiLSTM  ResNet152       BiLSTM
101       Evaluation-ResNet152_BiLSTM   F1-Score-CP     2  0.854369       ResNet152-BiLSTM  ResNet152       BiLSTM
102       Evaluation-ResNet152_BiLSTM   F1-Score-CP     3  0.727273       ResNet152-BiLSTM  ResNet152       BiLSTM
103       Evaluation-ResNet152_BiLSTM   F1-Score-CP     4  0.760000       ResNet152-BiLSTM  ResNet152       BiLSTM
104       Evaluation-ResNet152_BiLSTM   F1-Score-CP     5  0.790698       ResNet152-BiLSTM  ResNet152       BiLSTM
105       Evaluation-ResNet152_BiLSTM   F1-Score-LI     1  0.873786       ResNet152-BiLSTM  ResNet152       BiLSTM
