                                 Experiment        Metric  File     Value                       Model             CNN          RNN
76               Evaluation-DenseNet121_GRU  Accuracy-4th     2  0.021771             DenseNet121-GRU     DenseNet121          GRU
77               Evaluation-DenseNet121_GRU  Accuracy-4th     3  0.016591             DenseNet121-GRU     DenseNet121          GRU
78               Evaluation-DenseNet121_GRU  Accuracy-4th     4  0.027972             DenseNet121-GRU     DenseNet121          GRU
79               Evaluation-DenseNet121_GRU  Accuracy-4th     5  0.023352             DenseNet121-GRU     DenseNet121          GRU
80               Evaluation-DenseNet121_GRU  Accuracy-5th     1  0.005495             DenseNet121-GRU     DenseNet121          GRU
81               Evaluation-DenseNet121_GRU  Accuracy-5th     2  0.010160             DenseNet121-GRU     DenseNet121          GRU
82               Evaluation-DenseNet121_GRU  Accuracy-5th     3  0.004525             DenseNet121-GRU     DenseNet121          GRU
83               Evaluation-DenseNet121_GRU  Accuracy-5th     4  0.009790             DenseNet121-GRU     DenseNet121          GRU
84               Evaluation-DenseNet121_GRU  Accuracy-5th     5  0.006868             DenseNet121-GRU     DenseNet121          GRU
85               Evaluation-DenseNet121_GRU      Accuracy     1  0.800824             DenseNet121-GRU     DenseNet121          GRU
86               Evaluation-DenseNet121_GRU      Accuracy     2  0.770682             DenseNet121-GRU     DenseNet121          GRU
87               Evaluation-DenseNet121_GRU      Accuracy     3  0.773756             DenseNet121-GRU     DenseNet121          GRU
88               Evaluation-DenseNet121_GRU      Accuracy     4  0.744056             DenseNet121-GRU     DenseNet121          GRU
89               Evaluation-DenseNet121_GRU      Accuracy     5  0.754121             DenseNet121-GRU     DenseNet121          GRU
90              Evaluation-DenseNet121_LSTM  Accuracy-1st     1  0.751374            DenseNet121-LSTM     DenseNet121         LSTM
91              Evaluation-DenseNet121_LSTM  Accuracy-1st     2  0.714078            DenseNet121-LSTM     DenseNet121         LSTM
92              Evaluation-DenseNet121_LSTM  Accuracy-1st     3  0.749623            DenseNet121-LSTM     DenseNet121         LSTM
93              Evaluation-DenseNet121_LSTM  Accuracy-1st     4  0.717483            DenseNet121-LSTM     DenseNet121         LSTM
94              Evaluation-DenseNet121_LSTM  Accuracy-1st     5  0.799451            DenseNet121-LSTM     DenseNet121         LSTM
