                                       Experiment        Metric  File     Value                              Model        CNN          RNN  finetuned  Blocks
81          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Vis     2  0.105263         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
82          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Vis     3  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
83          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Vis     4  0.047619         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
84          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Vis     5  0.117647         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
85          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Cap     1  0.569620         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
86          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Cap     2  0.416327         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
87          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Cap     3  0.568421         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
88          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Cap     4  0.311475         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
89          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Cap     5  0.453333         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
90          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Hyd     1  0.062500         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
91          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Hyd     2  0.314815         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
92          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Hyd     3  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
93          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Hyd     4  0.097087         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
94          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Hyd     5  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
95          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Pha     1  0.766917         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
96          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Pha     2  0.731707         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
97          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Pha     3  0.691176         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
98          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Pha     4  0.645570         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
99          Evaluation-ResNet152_LSTM10-finetuned  F1-Score-Pha     5  0.803922         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
100         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-IA     1  0.600000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
101         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-IA     2  0.567164         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
102         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-IA     3  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
103         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-IA     4  0.210526         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
104         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-IA     5  0.430380         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
105         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-CP     1  0.397436         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
106         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-CP     2  0.295082         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
107         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-CP     3  0.269006         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
108         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-CP     4  0.132075         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
109         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-CP     5  0.331707         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
110         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-LI     1  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
111         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-LI     2  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
