                                       Experiment        Metric  File     Value                              Model        CNN          RNN  finetuned  Blocks
77           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-4th     3  0.062794          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
78           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-4th     4  0.109091          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
79           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-4th     5  0.062130          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
80           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-5th     1  0.055703          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
81           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-5th     2  0.031830          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
82           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-5th     3  0.042386          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
83           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-5th     4  0.053147          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
84           Evaluation-ResNet152_LSTM5-finetuned  Accuracy-5th     5  0.045858          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
85           Evaluation-ResNet152_LSTM5-finetuned      Accuracy     1  0.454907          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
86           Evaluation-ResNet152_LSTM5-finetuned      Accuracy     2  0.531830          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
87           Evaluation-ResNet152_LSTM5-finetuned      Accuracy     3  0.458399          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
88           Evaluation-ResNet152_LSTM5-finetuned      Accuracy     4  0.413986          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
89           Evaluation-ResNet152_LSTM5-finetuned      Accuracy     5  0.402367          ResNet152-LSTM5-finetuned  ResNet152         LSTM       True       5
90           Evaluation-ResNet152_Mamba-finetuned  Accuracy-1st     1  0.435013          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
91           Evaluation-ResNet152_Mamba-finetuned  Accuracy-1st     2  0.557029          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
92           Evaluation-ResNet152_Mamba-finetuned  Accuracy-1st     3  0.519623          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
93           Evaluation-ResNet152_Mamba-finetuned  Accuracy-1st     4  0.441958          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
94           Evaluation-ResNet152_Mamba-finetuned  Accuracy-1st     5  0.520710          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
95           Evaluation-ResNet152_Mamba-finetuned  Accuracy-2nd     1  0.220159          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
96           Evaluation-ResNet152_Mamba-finetuned  Accuracy-2nd     2  0.181698          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
97           Evaluation-ResNet152_Mamba-finetuned  Accuracy-2nd     3  0.207221          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
98           Evaluation-ResNet152_Mamba-finetuned  Accuracy-2nd     4  0.229371          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
99           Evaluation-ResNet152_Mamba-finetuned  Accuracy-2nd     5  0.190828          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
100          Evaluation-ResNet152_Mamba-finetuned  Accuracy-3rd     1  0.116711          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
101          Evaluation-ResNet152_Mamba-finetuned  Accuracy-3rd     2  0.114058          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
102          Evaluation-ResNet152_Mamba-finetuned  Accuracy-3rd     3  0.103611          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
103          Evaluation-ResNet152_Mamba-finetuned  Accuracy-3rd     4  0.124476          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
104          Evaluation-ResNet152_Mamba-finetuned  Accuracy-3rd     5  0.106509          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
105          Evaluation-ResNet152_Mamba-finetuned  Accuracy-4th     1  0.074271          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
106          Evaluation-ResNet152_Mamba-finetuned  Accuracy-4th     2  0.058355          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
107          Evaluation-ResNet152_Mamba-finetuned  Accuracy-4th     3  0.056515          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
108          Evaluation-ResNet152_Mamba-finetuned  Accuracy-4th     4  0.065734          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
109          Evaluation-ResNet152_Mamba-finetuned  Accuracy-4th     5  0.076923          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
110          Evaluation-ResNet152_Mamba-finetuned  Accuracy-5th     1  0.053050          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
111          Evaluation-ResNet152_Mamba-finetuned  Accuracy-5th     2  0.034483          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
112          Evaluation-ResNet152_Mamba-finetuned  Accuracy-5th     3  0.037677          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
113          Evaluation-ResNet152_Mamba-finetuned  Accuracy-5th     4  0.041958          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
114          Evaluation-ResNet152_Mamba-finetuned  Accuracy-5th     5  0.034024          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
115          Evaluation-ResNet152_Mamba-finetuned      Accuracy     1  0.435013          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
116          Evaluation-ResNet152_Mamba-finetuned      Accuracy     2  0.557029          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
117          Evaluation-ResNet152_Mamba-finetuned      Accuracy     3  0.519623          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
118          Evaluation-ResNet152_Mamba-finetuned      Accuracy     4  0.441958          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
119          Evaluation-ResNet152_Mamba-finetuned      Accuracy     5  0.520710          ResNet152-Mamba-finetuned  ResNet152        Mamba       True       1
120        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-1st     1  0.500000        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
121        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-1st     2  0.473475        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
122        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-1st     3  0.574568        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
123        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-1st     4  0.490909        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
124        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-1st     5  0.461538        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
